run,subrun,evt
18255,1,403397
18255,1,341047
18255,1,441633
18255,1,439690
18255,1,251809
18255,1,480671
18255,1,10134
18259,1,115258
18351,1,214000
18255,1,310194
18345,1,472336
18255,1,454490
18255,1,426913
18255,1,116380
18255,1,53226
18255,1,359963
18255,1,498095
18327,1,18710
18271,1,324984
18255,1,205169
18255,1,520291
18255,1,361441
18255,1,206702
18255,1,394721
18255,1,345072
18255,1,298314
18342,1,112370
18255,1,262339
18360,1,8888
18255,1,329761
18259,1,235214
18255,1,316574
18269,1,165845
18345,1,469806
18255,1,43149
18318,1,93446
18255,1,125539
18255,1,255984
18255,1,431857
18255,1,315104
18255,1,213273
18255,1,90797
18255,1,355700
18255,1,29867
18255,1,273940
18255,1,123607
18340,1,130897
18255,1,273402
18259,1,71931
18279,1,171032
18259,1,178219
18255,1,481942
18255,1,278797
18255,1,56085
18255,1,99506
18259,1,187971
18345,1,502777
18395,1,199162
18259,1,185716
18259,1,119450
18255,1,4543
18255,1,520757
18255,1,413064
18255,1,257232
18255,1,409624
18259,1,19292
18259,1,260530
18395,1,177963
18255,1,108402
18364,1,253372
18259,1,10129
18279,1,446786
18255,1,326925
18255,1,336930
18255,1,300337
18259,1,104609
18255,1,516596
18255,1,49443
18355,1,204779
18255,1,179104
18255,1,132554
18272,1,29560
18259,1,19244
18353,1,43182
18350,1,40206
18259,1,160290
18306,1,124877
18259,1,171907
18259,1,252661
18255,1,260486
18255,1,41077
18270,1,387809
18255,1,229677
18255,1,376933
18255,1,360002
18255,1,118352
18255,1,127536
18259,1,202459
18269,1,369747
18255,1,295681
18255,1,490881
18255,1,488619
18313,1,95601
18255,1,320885
18388,1,174374
18255,1,296985
18364,1,16426
18388,1,175188
18270,1,281701
18255,1,373120
18255,1,383576
18255,1,334742
18255,1,239978
18255,1,337260
18255,1,91970
18255,1,344650
18255,1,297803
18364,1,285849
18255,1,43582
18255,1,502384
18255,1,515950
18255,1,201547
18259,1,252243
18271,1,458937
18261,1,27084
18255,1,463028
18259,1,102516
18390,1,201701
18255,1,479436
18255,1,414250
18269,1,165471
18255,1,23796
18259,1,8420
18259,1,72126
18255,1,304925
18255,1,47689
18255,1,125082
18270,1,960503
18259,1,49497
18255,1,117069
18255,1,304259
18255,1,18865
18271,1,124490
18261,1,490581
18255,1,462895
18255,1,222822
18259,1,35230
18334,1,327228
18259,1,157005
18255,1,21704
18259,1,3725
18255,1,512629
18394,1,16177
18259,1,178194
18388,1,14822
18255,1,135745
18259,1,117317
18326,1,172931
18255,1,159173
18255,1,69203
18253,1,167111
18255,1,404490
18388,1,338128
18255,1,319804
18255,1,93676
18259,1,212151
18255,1,155970
18255,1,402157
18364,1,31100
18255,1,204760
18255,1,447419
18364,1,365688
18255,1,386153
18255,1,494819
18255,1,29999
18355,1,211428
18255,1,246988
18255,1,433744
18395,1,44303
18255,1,360601
18255,1,302519
18364,1,248862
18255,1,279052
18255,1,409049
18255,1,117971
18255,1,139701
18255,1,146367
18255,1,101242
18255,1,387397
18313,1,71344
18255,1,452417
18255,1,370278
18259,1,54504
18255,1,374844
18345,1,458289
18255,1,424298
18259,1,76629
18365,1,145906
18255,1,31501
18255,1,347387
18340,1,59464
18255,1,159807
18255,1,136966
18255,1,57903
18259,1,243413
18255,1,416888
18313,1,191683
18255,1,421709
18255,1,132137
18253,1,448653
18259,1,61159
18306,1,233229
18255,1,132249
18255,1,338090
18255,1,47993
